[210]		一	×一
[211]		乙	×乙
[214]		丁	⿱{一,亅}
[215]		七	⿻⿱{一,乚}
[216]		乃	⿻⿰{丿,㇋}
[217]		九	⿻⿰{丿,㇈}
[218]		了	⿱{乛,亅}
[219]		二	⿱{一,一}
[220]		人	⿰{丿,㇏}
[221]		入	⿰{丿,乁}
[222]		八	⿰{丿,乁}(⿰{丿,㇏})
[223]		几	⿰{丿,㇈}
[224]		刀	⿻⿰{丿,㇆}
[225]		力	⿻⿰{丿,㇆}
[226]		匕	⿻⿰{乚,㇀}
[227]		十	⿻⿱{一,丨}
[228]		卜	⿻⿰{丨,ヽ}(⿻⿰{丨,一})
[229]		又	⿻⿰{㇇,㇏}
[232]		万	⿻⿱{一,⿰{丿,㇆}}
[233]		丈	⿻⿱{一,⿻⿰{丿,㇏}}
[234]		三	⿱{一,二}(⿳{一,一,一})
[235]		上	⿱{⺊,一}
[236]		下	⿱{一,卜}
[237]		与	⿻⿱{$1,一}
[238]		丸	⿻⿵{九,ヽ}
[239]		久	⿰{ク,㇏}
[240]		之	⿳{丶,㇇,乀}
[241]		乞	⿱{𠂉,乙}
[242]		也	⿻⿰{乜,丨}
[243]		亡	⿱{亠,㇄}(⿱{丶,匸})
[244]		凡	⿵{几,丶}
[245]		刃	⿻⿰{刀,ヽ}
[246]		千	⿱{ノ,十}
[247]		叉	⿴{又,丶}
[248]		及	⿻×{乃,㇏}
[249]		口	⿻⿱{⿻⿰{丨,㇆},一}
[250]		土	⿱{十,一}
[251]		士	⿱{十,一}
[252]		夕	⿻⿵{ク,ヽ}
[253]		大	⿻×{一,人}
[254]		女	⿻×{⿻×{𡿨,ノ},一}
[255]		子	⿻⿱{了,一}
[256]		孑	⿻⿱{了,㇀}
[257]		寸	⿻⿹{$3,丶}
[258]		小	⿲{ノ,亅,ヽ}
[259]		山	⿻⿶{丨,凵}
[260]		川	⿲{丿,丨,丨}
[261]		工	⿱{丅,一}
[262]		己	⿱{コ,乚}
[263]		已	⿻⿱{コ,乚}
[264]		巳	⿻⿱{コ,乚}
[265]		巾	⿻×{冂,丨}
[266]		干	⿻⿱{丅,一}(⿱{一,十})
[267]		弓	⿻⿱{コ,㇉}
[268]		才	⿻⿱{$3,㇀}
[271]		不	⿱{一,⿸{⿻⿱{ノ,丨},ヽ}}
[272]		丑	⿻×{⿻⿱{𠃍,丨},二}(⿻×{三,⿰{丨,丨}})(⿻⿰{⿻×{三,丨},丨})
[273]		中	⿻×{口,丨}
[274]		丹	⿻×{⺆,⿱{丶,一}}
[275]		乏	⿱{ノ,之}
[276]		予	⿱{龴,$4}
[277]		云	⿱{二,厶}
[278]		互	⿳{一,⿻⿰{㇄,𠃍},一}
[279]		五	⿱{一,⿱{⿻⿱{丨,𠃍},一}}
[280]		井	⿻×{二,$6}(⿻⿱{一,廾})
[281]		亢	⿱{亠,几}
[282]		什	⿰{亻,十}
[283]		仁	⿰{亻,二}
[284]		仇	⿰{亻,九}
[285]		仄	⿸{厂,人}
[286]		今	⿻⿱{人,ラ}(⿱{亼,㇇})(⿻⿱{亽,㇇})
[287]		介	⿻⿱{人,$6}
[288]		仏	⿰{亻,厶}
[289]		允	⿰{厶,儿}
[290]		元	⿱{一,兀}(⿱{二,儿})
[291]		公	⿻⿱{八,厶}
[292]		六	⿱{亠,ハ}
[293]		内	⿻⿵{冂,人}
[294]		円	⿵{冂,丄}
[295]		冗	⿱{冖,几}
[296]		凶	⿶{凵,㐅}
[297]		分	⿱{八,刀}
[298]		切	⿰{七,刀}
[299]		刈	⿰{㐅,刂}
[300]		勾	⿹{勹,厶}
[301]		勿	⿹{勹,⿻⿰{ノ,ノ}}
[302]		匂	⿹{勹,匕}
[303]		化	⿰{亻,匕}
[304]		匹	⿻⿷{匸,儿}
[305]		区	⿷{匸,㐅}
[306]		升	⿻⿱{ノ,廾}
[307]		午	⿻×{ノ,干}
[308]		厄	⿸{厂,⺋}
[309]		友	⿸{⿻×{一,ノ},又}
[310]		双	⿰{ヌ,又}
[311]		反	⿸{厂,又}
[312]		収	⿰{丩,又}
[313]		壬	⿱{ノ,士}
[314]		天	⿱{二,人}(⿱{一,大})
[315]		太	⿻⿱{大,丶}
[316]		夫	⿱{二,人}(⿱{一,大})
[317]		夭	⿱{ノ,大}
[318]		孔	⿰{孑,乚}
[319]		少	⿻⿱{小,ノ}
[320]		尤	⿻⿺{尢,丶}
[321]		尺	⿻⿱{尸,㇏}
[322]		屯	⿻⿱{ノ,⿻×{凵,乚}}
[323]		巴	⿻⿰{⿻×{コ,丨},乚}
[324]		幻	⿰{幺,㇆}
[325]		廿	⿻⿱{卄,一}
[326]		弔	⿻×{弓,丨}
[327]		引	⿰{弓,丨}
[328]		心	⿲{′,⿱{乚,丶},丶}(⿲{′,⿱{㇃,丶},丶})(⿲{′,⿱{㇂,丶},丶})
[329]		戸	⿱{一,尸}
[330]		手	⿻×{⿱{ノ,二},亅}
[331]		支	⿱{十,又}
[332]		文	⿱{亠,乂}
[333]		斗	⿻⿰{$7,丨}
[334]		斤	⿸{⺁,丅}
[335]		方	⿱{亠,⿰{丿,㇆}}
[336]		日	⿻×{冂,二}(⿻×{囗,一})(⿻×{口,一})
[337]		曰	⿻×{冂,二}(⿻×{囗,一})(⿻×{口,一})
[338]		月	⿻×{⺆,二}
[339]		木	⿻×{十,人}(⿻×{大,丨})
[340]		欠	⿻⿱{冖,人}
[341]		止	⿻×{⺊,⿻⿱{丨,一}}
[342]		比	⿻⿰{上,匕}(⿻⿰{⿱{⺊,㇀},匕})
[343]		毛	⿻×{⿱{ノ,二},乚}
