麺	めん
名古屋	なごや
名物	めいぶつ
代表格	だいひょうかく
話題になる	わだいになる
挙げる	あげる
多い	おおい
駅	えき
一番	いちばん
一番	ひとつがい
新幹線	しんかんせん
立つ	たつ
食う	くう
喰う	くう
声	こえ
自分	じぶん
派	は
出張	しゅっちょう
取材	しゅざい
行く	いく
往く	いく
行く	ゆく
往く	ゆく
頻度	ひんど
高い	たかい
具	ぐ
具	つま
基本的に	きほんてきに
油揚げ	あぶらあげ
油揚げ	あぶらげ
草	くさ
草	そう
花	はな
華	はな
構成	こうせい
決め手	きめて
極め手	きめて
分かる	わかる
解る	わかる
判る	わかる
分る	わかる
気がする	きがする
行う	おこなう
行なう	おこなう
楽む	たのしむ
売る	うる
名	な
名	めい
生	いく
生	うぶ
生	き
生	しょう
生	せい
生	なま
生	なまり
生	ふ
即席	そくせき
強い	こわい
強い	つよい
香る	かおる
薫る	かおる
食感	しょっかん
近い	ちかい
思わず	おもわず
思う	おもう
憶う	おもう
懐う	おもう
想う	おもう
念う	おもう
出す	だす
再現	さいげん
度	たび
度	ど
味	あじ
味	み
商品名	しょうひんめい
冒頭	ぼうとう
俗説	ぞくせつ
正しい	ただしい
発売元	はつばいもと
寿	ことぶき
食品	しょくひん
発売	はつばい
年	とし
年	とせ
年	ねん
知る	しる
識る	しる
愛	あい
地球	ちきゅう
開催	かいさい
愛知県	あいちけん
注目	ちゅうもく
集まる	あつまる
集る	あつまる
当社	とうしゃ
全国	ぜんこく
全国	ぜんごく
客	かく
客	きゃく
様	さま
様	ざま
様	よう
発信	はっしん
命名	めいめい
致す	いたす
玄関	げんかん
口	く
口	くち
口	こう
方	え
方	かた
方	がた
方	へ
方	べ
方	ほう
旅行	りょこう
降る	くだる
降る	ふる
漂う	ただよう
開発	かいはつ
部	ぶ
担当者	たんとうしゃ
実際に	じっさいに
食べ歩く	たべあるく
研究	けんきゅう
末に	すえに
一般	いっぱん
完成	かんせい
以来	いらい
売れ行き	うれゆき
売行	うれゆき
売行き	うれゆき
好調	こうちょう
現在	げんざい
定番	ていばん
定着	ていちゃく
圏	けん
中心	ちゅうしん
中心	なかご
他	た
他	ほか
地域	ちいき
入手	にゅうしゅ
残念	ざんねん
味噌	みそ
手羽先	てばさき
魅惑	みわく
多	た
機会	きかい
書く	かく
超	ちょう
近いうちに	ちかいうちに
方面	ほうめん
出る	でる
予定	よてい
新年	しんねん
抱負	ほうふ
私	あたい
私	あたくし
私	あたし
私	あっし
私	あて
私	わい
私	わし
私	わたい
私	わたくし
私	わたし
私	わっし
私	わっち
私	わて
私	わらわ
絶対	ぜったい
思う	おもう
憶う	おもう
懐う	おもう
想う	おもう
念う	おもう
基本的に	きほんてきに
何も	なにも
決める	きめる
今年	ことし
今年	こんねん
体重	たいじゅう
本当に	ほんとうに
本当に	ほんとに
痩せる	やせる
痩る	やせる
瘠せる	やせる
瘠る	やせる
下記	かき
記事	きじ
年	とし
年	とせ
年	ねん
運動	うんどう
目標	めじるし
目標	もくひょう
一番多い	いちばんおおい
似る	にる
食べる	たべる
量	りょう
少ない	すくない
寡い	すくない
少い	すくない
尠い	すくない
最近	さいきん
食	しょく
ご飯	ごはん
御飯	ごはん
他	た
他	ほか
減量	げんりょう
減る	へる
会	え
会	かい
行く	いく
往く	いく
行く	ゆく
往く	ゆく
飲む	のむ
呑む	のむ
飮む	のむ
分	ふん
分	ぶ
分	ぶん
一緒	いっしょ
後	あと
後	うしろ
後	ご
後	しり
後	のち
面白い	おもしろい
嫁さん	よめさん
恋人	こいびと
歩む	あゆむ
歩み寄る	あゆみよる
女性	じょせい
茶飲み	ちゃのみ
友達	ともだち
友だち	ともだち
何	なに
何	なん
一生懸命	いっしょうけんめい
一生けん命	いっしょうけんめい
色	いろ
色	しき
色	しょく
好き	すき
好き	ずき
違う	たがう
違う	ちがう
性格	せいかく
言う	いう
謂う	いう
云う	いう
言う	ゆう
謂う	ゆう
云う	ゆう
明るい	あかるい
明い	あかるい
暗い	くらい
闇い	くらい
昏い	くらい
冥い	くらい
関係	かんけい
青	あお
蒼	あお
碧	あお
赤	あか
黄色	おうしょく
黄色	きいろ
黄色	こうしょく
中	うち
中	じゅう
中	ちゅう
中	なか
危険	きけん
国	くに
邦	くに
連想	れんそう
聯想	れんそう
日本	にっぽん
日本	にほん
中華料理	ちゅうかりょうり
店	たな
店	てん
店	みせ
見世	みせ
食欲	しょくよく
食慾	しょくよく
別	べつ
別	わけ
夏	か
夏	げ
夏	なつ
暑い	あつい
日	か
日	にち
日	ひ
渇く	かわく
時	じ
時	とき
時	どき
