麺	noodles<br><br>めん
名古屋	Nagoya (city)<br><br>なごや
名物	famous product<br><br>めいぶつ
代表格	representative<br><br>だいひょうかく
話題になる	to be in the news<br><br>わだいになる
挙げる	to raise (a voice, etc.)<br><br>あげる
人	counter for people<br><br>にん
多い	many<br><br>おおい
駅	station<br><br>えき
一番	number one<br><br>いちばん
新幹線	bullet train (very high speed)<br><br>しんかんせん
立つ	to stand<br><br>たつ
食う	to eat<br><br>くう
声	voice<br><br>こえ
自分	myself<br><br>じぶん
派	clique<br><br>は
出張	business trip<br><br>しゅっちょう
取材	covering an event<br><br>しゅざい
行く	to go<br><br>いく
頻度	frequency<br><br>ひんど
高い	expensive<br><br>たかい
具	tool<br><br>ぐ
基本的に	basically<br><br>きほんてきに
油揚げ	fried tofu<br><br>あぶらげ
草	grass<br><br>くさ
花	flower<br><br>はな
構成	structure<br><br>こうせい
決め手	person who decides<br><br>きめて
分かる	to be understood<br><br>わかる
気がする	to have a hunch<br><br>きがする
行う	to perform<br><br>おこなう
楽む	to enjoy oneself<br><br>たのしむ
売る	to sell<br><br>うる
名	counter for people (usu. seating, reservations and such)<br><br>めい
生	raw<br><br>なま
即席	instant (as in "instant noodles")<br><br>そくせき
強い	strong<br><br>つよい
香る	to smell sweet<br><br>かおる
食感	food texture<br><br>しょっかん
近い	near<br><br>ちかい
思わず	unintentionally<br><br>おもわず
思う	to think<br><br>おもう
出す	to take out<br><br>だす
再現	reappearance<br><br>さいげん
度	time (three times, each time, etc.)<br><br>たび
味	taste<br><br>あじ
商品名	trade (brand) name<br><br>しょうひんめい
冒頭	beginning<br><br>ぼうとう
俗説	common saying<br><br>ぞくせつ
正しい	correct<br><br>ただしい
発売元	sales agency<br><br>はつばいもと
寿	congratulations!<br><br>ことぶき
食品	foodstuffs<br><br>しょくひん
発売	sale<br><br>はつばい
年	year (e.g. AD)<br><br>ねん
知る	to know<br><br>しる
愛	love<br><br>あい
地球	the earth<br><br>ちきゅう
開催	holding a meeting<br><br>かいさい
愛知県	Aichi prefecture (Chuubu area)<br><br>あいちけん
注目	notice; attention; observation<br><br>ちゅうもく
集まる	to gather<br><br>あつまる
当社	this company<br><br>とうしゃ
全国	country-wide<br><br>ぜんごく
客	guest<br><br>きゃく
様	Mr, Mrs or Ms<br><br>さま
発信	transmission<br><br>はっしん
命名	naming<br><br>めいめい
致す	to do (humble)<br><br>いたす
玄関	entranceway<br><br>げんかん
口	mouth<br><br>くち
方	person<br><br>かた
旅行	trip<br>二字<br><br>りょこう
降る	to fall (e.g. rain)<br><br>ふる
漂う	to drift about<br><br>ただよう
開発	development<br><br>かいはつ
部	department (in an organization)<br><br>ぶ
担当者	person in charge<br>三字<br><br>たんとうしゃ
実際に	virtually<br><br>じっさいに
食べ歩く	to try out the food at various restaurants (lit: to eat and walk)<br><br>たべあるく
研究	research<br><br>けんきゅう
末に	finally<br><br>すえに
一般	general ("in general")<br><br>いっぱん
完成	completion (of a project etc.)<br><br>かんせい
以来	since<br><br>いらい
売れ行き	sales<br><br>うれゆき
好調	favourable<br><br>こうちょう
現在	now, at present<br><br>げんざい
定番	standard (goods, procedure, etc.)<br><br>ていばん
定着	establishing<br><br>ていちゃく
圏	sphere (geographical etc.)<br><br>けん
中心	core, center<br><br>ちゅうしん
他	other (esp. places and things)<br><br>ほか
地域	area<br><br>ちいき
入手	obtaining<br><br>にゅうしゅ
残念	deplorable (regretful, ce pacat)<br><br>ざんねん
味噌	miso<br><br>みそ
手羽先	chicken wing<br><br>てばさき
魅惑	attraction<br><br>みわく
多	multi-<br><br>た
機会	chance<br><br>きかい
書く	to write<br><br>かく
超	super-<br><br>ちょう
近いうちに	before long<br><br>ちかいうちに
方面	direction<br><br>ほうめん
出る	to appear<br><br>でる
予定	plans<br><br>よてい
新年	New Year<br><br>しんねん
抱負	aspiration (New Year's)<br><br>ほうふ
私	I<br><br>わたし
絶対	absolutely<br><br>ぜったい
思う	to think<br><br>おもう
基本的に	basically<br><br>きほんてきに
何も	nothing (with neg. verbs)<br><br>なにも
決める	to decide<br><br>きめる
今年	this year<br><br>ことし
体重	one's body weight<br><br>たいじゅう
本当に	really<br><br>ほんとうに
痩せる	to become thin<br><br>やせる
下記	the following ("the written below")<br><br>かき
記事	article (in a paper, etc.)<br><br>きじ
年	year (e.g. AD)<br><br>ねん
運動	(physical) exercise<br><br>うんどう
目標	objective ("mark")<br><br>もくひょう
一番多い	most numerous<br><br>いちばんおおい
似る	to resemble<br><br>にる
食べる	to eat<br><br>たべる
量	quantity<br><br>りょう
少ない	few<br><br>すくない
最近	latest<br><br>さいきん
食	meal<br><br>しょく
ご飯	meal ("rice")<br><br>ごはん
他	other (esp. places and things)<br><br>ほか
減量	loss in quantity<br><br>げんりょう
減る	to decrease (in size or number)<br><br>へる
会	meeting<br><br>かい
行く	to go<br><br>いく
飲む	to drink<br><br>のむ
分	minute<br><br>ふん
一緒	together<br><br>いっしょ
後	back<br><br>うしろ　のち
面白い	interesting<br><br>おもしろい
嫁さん	wife<br />よめさん
恋人	lover<br><br>こいびと
歩む	to walk<br><br>あゆむ
歩み寄る	to compromise<br><br>あゆみよる
女性	woman<br><br>じょせい
茶飲み	tea drinking<br><br>ちゃのみ
友達	friend<br><br>ともだち
何	what<br><br>なに
一生懸命	with all of one's effort<br><br>いっしょうけんめい
色	color<br><br>いろ
好き	liking<br><br>すき
違う	to differ<br><br>たがう
性格	(person's) character<br><br>せいかく
言う	to say<br><br>いう
明るい	bright<br><br>あかるい
暗い	dark<br>漢字一字<br><br>くらい
関係	relation<br><br>かんけい
青	blue<br><br>あお
赤	red<br><br>あか
黄色	yellow<br><br>きいろ
中	inside<br><br>なか
危険	danger<br><br>きけん
国	country<br><br>くに
連想	(mind) association<br><br>れんそう
日本	Japan<br><br>にほん
中華料理	Chinese food<br><br>ちゅうかりょうり
店	store<br><br>みせ
食欲	appetite (for food)<br><br>しょくよく
別	distinct<br>漢字一字<br><br>べつ
夏	summer<br><br>なつ
暑い	hot (weather, etc.)<br><br>あつい
日	day<br><br>ひ
渇く	to be thirsty<br><br>かわく
時	time<br><br>とき
飲む	to drink<br><br>のむ
用意	preparation (for use)<br><br>ようい
道	road (1 kanji)<br><br>みち
通る	to pass (by) (~on the street)<br><br>とおる
実験	experiment<br><br>じっけん
人気	popular<br><br>にんき
見る	to see<br><br>みる
涼しい	cool<br><br>すずしい
感じる	to feel<br><br>かんじる
同じ	same<br><br>おんなじ
形　貌　容	shape<br><br>かたち
大きさ	size<br><br>おおきさ
箱	box<br><br>はこ
持つ	to hold<br><br>もつ
重い	heavy<br><br>おもい
尋ねる	to ask/inquire<br><br>たずねる
白	white<br><br>しろ
黒	black<br><br>くろ
答える	to answer<br><br>こたえる
本当	truth<br><br>ほんとう
重さ	weight<br><br>おもさ
比べる	to compare<br><br>くらべる
世界	the world<br><br>せかい
子供	child<br><br>こども
遊ぶ	to play<br><br>あそぶ
鬼ごっこ	game of tag<br><br>おにごっこ
世界中	around or throughout the world<br><br>せかいじゅう
鬼	ogre<br><br>おに
決める	to decide<br><br>きめる
負ける	to lose (a battle)<br><br>まける
世界各地	all over the world<br><br>せかいかくち
似る	to resemble<br><br>にる
手	hand<br><br>て
握る	to grasp (in hand)<br><br>にぎる
石	stone<br><br>いし
指	finger<br><br>ゆび
開く	to open (e.g. a bank-account, festival, etc.)<br><br>ひらく
紙	paper<br><br>かみ
表す　顕す	to reveal; to show; to display; to express; to represent; to signify; to stand for<br><br>あらわす
勝負	contest (win-lose)<br><br>しょうぶ
勝つ	to win<br><br>かつ
包む	to wrap up<br><br>つつむ
金槌	(iron) hammer; hopeless swimmer; complete beginner at swimming<br><br>かなづち、 てっつい
布	cloth<br><br>ぬの
指先	fingertip<br><br>ゆびさき
全部	all<br><br>ぜんぶ
合わせる	to match (rhythm, speed, etc.)<br><br>あわせる
前	ago, before<br><br>まえ
鳥	bird<br><br>とり
作る	to make<br><br>つくる
水	water (cold, fresh)<br><br>みず
負	negative<br><br>ふ
親指	thumb<br><br>おやゆび
象	elephant<br><br>ぞう
人差し指	index finger<br><br>ひとさしゆび
小指	little finger<br><br>こゆび
小さい	small<br><br>ちいさい
大きい	big<br><br>おおきい
倒す	to knock down, to overthrow<br><br>たおす
勉強	study<br><br>べんきょう
普通	(the) usual<br><br>ふつう
幼稚園	kindergarten<br><br>ようちえん
父さん	father<br><br>とうさん
母さん	mother<br><br>かあさん
顔	face (person)<br><br>かお
生える	to grow<br><br>はえる
耳	ear<br><br>みみ
見える	to seem<br><br>みえる
特徴	trait<br><br>とくちょう
表現	expression<br><br>ひょうげん
点	point<br><br>てん
素晴らしい	wonderful, splendid<br><br>すばらしい
似顔絵	portrait<br><br>にがおえ
正確	accurate<br><br>せいかく
本人	the person himself<br><br>ほんにん
強調	emphasis<br><br>きょうちょう
目	ordinal number suffix (-th)<br><br>め
鼻	nose<br><br>はな
倍	-fold<br><br>ばい
長い	long (distance)<br><br>ながい
曲がる	to bend (e.g., road)<br><br>まがる
誰	who<br><br>だれ
技術	art<br><br>ぎじゅつ
共通	commonness<br><br>きょうつう
次	next<br><br>つぎ
味付け	seasoning<br><br>あじつけ
料理	cooking<br><br>りょうり
実は	"to be honest"<br><br>じつは
聞く	to hear<br><br>きく
活躍	activity (esp. energetic)<br><br>かつやく
警察	police<br><br>けいさつ
逃げる　逃れる	to escape<br><br>にげる　のがれる
犯人	criminal<br><br>はんにん
捕まえる	to catch<br><br>つかまえる
使う	to use (a thing, method, etc.)<br><br>つかう
市民	citizen<br><br>しみん
情報	information (data contained in characters, signals, code, etc.)<br><br>じょうほう
集める	to collect<br><br>あつめる
最近	latest<br><br>さいきん
何でも	any<br><br>なんでも
仕事	work<br><br>しごと
少ない	few<br><br>すくない
話	talk<br><br>はなし
事件	incident, affair<br><br>じけん
怪しい	suspicious<br><br>あやしい
考える	to think (to consider)<br><br>かんがえる
程度	degree; amount; grade; standard; of the order of (following a number)<br><br>ていど
辺	circumstances ("whereabouts")<br><br>へん
彼	he<br><br>かれ
一緒	together<br><br>いっしょ
高速道路	highway<br><br>こうそくどうろ
便利	convenient<br><br>べんり
運転	driving<br><br>うんてん
単調	monotony<br><br>たんちょう
長時間	long period of time<br><br>ちょうじかん
走る	to travel (movement of vehicles)<br><br>はしる
眠い	sleepy<br><br>ねむい
不注意	inattention<br><br>ふちゅうい
事故	accident<br><br>じこ
起こる	to occur<br><br>おこる
運転手	driver<br><br>うんてんしゅ
楽しい	enjoyable<br><br>たのしい
